id	pr_gene_symbol	MDAMB231-ctl_vehicle-16149	MDAMB231-ctl_vehicle-16150	MDAMB231-ctl_vehicle-16151	MDAMB231-trt_cp-16152	MDAMB231-trt_cp-16153	MDAMB231-trt_cp-16154	MDAMB231-trt_cp-16155	MDAMB231-trt_cp-16156	
216266_s_at	ARFGEF1	M	F	M	P	F	F	P	P	
215927_at	ARFGEF2	M	F	M	P	F	F	M	P	
215931_s_at	ARFGEF2	P	M	P	P	F	F	P	P	
218098_at	ARFGEF2	P	P	P	P	P	M	P	P	
214483_s_at	ARFIP1	P	P	P	P	P	F	P	P	
218230_at	ARFIP1	P	P	P	P	P	M	P	P	
203174_s_at	ARFRP1	P	M	P	P	M	F	P	P	
215984_s_at	ARFRP1	P	M	P	P	M	F	P	P	
206177_s_at	ARG1	F	F	F	F	F	F	F	F	
203945_at	ARG2	P	M	P	P	M	F	P	P	
203946_s_at	ARG2	P	P	P	P	P	F	P	P	
218067_s_at	ARGLU1	P	P	P	P	P	M	P	P	
216689_x_at	ARHGAP1	M	F	M	P	F	F	M	P	
217153_at	ARHGAP1	F	F	F	M	F	F	F	M	
219431_at	ARHGAP10	P	P	P	P	M	F	P	P	
204492_at	ARHGAP11A	M	F	M	P	F	F	M	P	
207606_s_at	ARHGAP12	P	P	P	P	M	F	P	P	
218870_at	ARHGAP15	F	F	F	F	F	F	F	F	
218076_s_at	ARHGAP17	P	P	P	P	M	F	P	P	
212738_at	ARHGAP19	M	M	M	P	F	F	P	P	
37577_at	ARHGAP19	M	M	M	P	M	F	P	P	
206298_at	ARHGAP22	P	M	P	P	M	F	P	P	
221030_s_at	ARHGAP24	F	F	F	F	F	F	F	F	
204882_at	ARHGAP25	M	F	F	M	F	F	F	M	
38149_at	ARHGAP25	M	F	F	M	F	F	F	P	
205068_s_at	ARHGAP26	M	F	M	P	F	F	M	P	
205069_s_at	ARHGAP26	F	F	F	F	F	F	F	M	
215955_x_at	ARHGAP26	M	F	F	M	F	F	F	M	
220381_at	ARHGAP28	F	F	F	F	F	F	F	M	
220382_s_at	ARHGAP28	F	F	F	F	F	F	F	M	
203910_at	ARHGAP29	P	P	P	P	P	P	P	P	
203431_s_at	ARHGAP32	M	M	P	P	F	F	P	P	
210791_s_at	ARHGAP32	M	F	P	P	F	F	M	P	
213827_at	ARHGAP33	M	F	M	M	F	F	M	M	
215256_x_at	ARHGAP33	M	F	F	M	F	F	F	M	
202044_at	ARHGAP35	P	M	P	P	M	F	P	P	
202045_s_at	ARHGAP35	P	P	P	P	M	F	P	P	
202046_s_at	ARHGAP35	M	F	M	M	F	F	M	P	
204425_at	ARHGAP4	F	F	F	M	F	F	M	M	
205414_s_at	ARHGAP44	P	M	P	P	F	F	P	P	
215232_at	ARHGAP44	M	F	M	M	F	F	F	M	
217936_at	ARHGAP5	P	P	P	P	P	F	P	P	
206167_s_at	ARHGAP6	F	F	F	F	F	F	F	F	
208085_s_at	ARHGAP6	F	F	F	F	F	F	F	F	
201167_x_at	ARHGDIA	P	P	P	P	P	F	P	P	
201168_x_at	ARHGDIA	P	P	P	P	P	P	P	P	
211716_x_at	ARHGDIA	P	P	P	P	P	P	P	P	
213606_s_at	ARHGDIA	P	P	P	P	P	M	P	P	
201288_at	ARHGDIB	P	P	P	P	P	P	P	P	
206888_s_at	ARHGDIG	P	F	P	P	F	F	M	P	
203055_s_at	ARHGEF1	P	P	P	P	P	F	P	P	
215139_at	ARHGEF10	F	F	M	M	F	F	F	M	
216620_s_at	ARHGEF10	P	P	P	P	P	F	P	P	
221656_s_at	ARHGEF10L	P	M	P	P	M	F	P	P	
202913_at	ARHGEF11	P	P	P	P	P	F	P	P	
202914_s_at	ARHGEF11	P	M	P	P	F	F	P	P	
201333_s_at	ARHGEF12	M	F	M	M	F	F	M	M	
201335_s_at	ARHGEF12	M	M	M	P	F	F	M	P	
210741_at	ARHGEF12	F	F	F	F	F	F	F	F	
205507_at	ARHGEF15	F	F	F	M	F	F	F	M	
217348_x_at	ARHGEF15	M	F	M	P	F	F	M	P	
208009_s_at	ARHGEF16	P	M	P	P	F	F	P	P	
203756_at	ARHGEF17	P	M	P	P	M	F	P	P	
213039_at	ARHGEF18	P	P	P	P	P	M	P	P	
207629_s_at	ARHGEF2	P	M	P	P	M	F	P	P	
222121_at	ARHGEF26	F	F	M	M	F	F	F	M	
218501_at	ARHGEF3	M	F	M	P	M	F	P	P	
221119_at	ARHGEF38	F	F	F	M	F	F	F	M	
205109_s_at	ARHGEF4	F	F	F	M	F	F	F	P	
211891_s_at	ARHGEF4	F	F	F	F	F	F	F	M	
216912_at	ARHGEF4	M	F	M	M	F	F	F	M	
220326_s_at	ARHGEF40	P	P	P	P	M	F	P	P	
58780_s_at	ARHGEF40	P	M	P	P	F	F	P	P	
204765_at	ARHGEF5	M	F	M	P	F	F	M	P	
209539_at	ARHGEF6	F	F	F	F	F	F	F	F	
202547_s_at	ARHGEF7	M	F	M	M	F	F	M	P	
202548_s_at	ARHGEF7	P	M	P	P	M	F	P	P	
203263_s_at	ARHGEF9	M	F	M	P	F	F	M	P	
203264_s_at	ARHGEF9	M	F	P	P	F	F	M	P	
207591_s_at	ARID1A	M	F	M	P	F	F	M	P	
210649_s_at	ARID1A	P	P	P	P	P	M	P	P	
212152_x_at	ARID1A	P	P	P	P	P	M	P	P	
218917_s_at	ARID1A	P	P	P	P	P	F	P	P	
205865_at	ARID3A	F	F	F	M	F	F	F	M	
218964_at	ARID3B	F	F	F	M	F	F	F	M	
205062_x_at	ARID4A	M	F	M	P	F	F	M	P	
214139_at	ARID4B	M	F	M	M	F	F	F	M	
213138_at	ARID5A	P	M	P	P	F	F	P	P	
201878_at	ARIH1	M	M	M	P	F	F	P	P	
201879_at	ARIH1	F	F	M	M	F	F	M	M	
201880_at	ARIH1	P	M	P	P	M	F	P	P	
201881_s_at	ARIH1	P	M	P	P	M	F	P	P	
201228_s_at	ARIH2	M	F	P	P	F	F	P	P	
201229_s_at	ARIH2	P	P	P	P	M	F	P	P	
201230_s_at	ARIH2	P	P	P	P	P	F	P	P	
216008_s_at	ARIH2	P	M	P	P	M	F	P	P	
201657_at	ARL1	P	P	P	P	P	M	P	P	
201658_at	ARL1	P	P	P	P	P	F	P	P	
201659_s_at	ARL1	P	M	P	P	M	F	P	P	
220468_at	ARL14	F	F	F	F	F	F	F	F	
219842_at	ARL15	F	F	F	M	F	F	M	M	
202564_x_at	ARL2	P	P	P	P	P	M	P	P	
202091_at	ARL2BP	F	F	F	M	F	F	F	M	
202092_s_at	ARL2BP	P	M	P	P	M	F	P	P	
202641_at	ARL3	P	M	P	P	M	F	P	P	
213433_at	ARL3	M	F	M	M	F	F	M	P	
205020_s_at	ARL4A	M	F	P	P	M	F	P	P	
202206_at	ARL4C	P	M	P	P	M	F	P	P	
202207_at	ARL4C	P	P	P	P	P	M	P	P	
213759_at	ARL4C	M	F	M	M	F	F	M	P	
203586_s_at	ARL4D	M	F	M	P	F	F	M	M	
203587_at	ARL4D	F	F	F	F	F	F	F	F	
218150_at	ARL5A	P	F	P	P	M	F	P	P	
211935_at	ARL6IP1	P	P	P	P	P	F	P	P	
218216_x_at	ARL6IP4	P	P	P	P	P	P	P	P	
220597_s_at	ARL6IP4	P	P	P	P	P	M	P	P	
200760_s_at	ARL6IP5	P	P	P	P	P	P	P	P	
200761_s_at	ARL6IP5	P	P	P	P	P	P	P	P	
217852_s_at	ARL8B	P	P	P	P	P	F	P	P	
218185_s_at	ARMC1	P	P	P	P	P	F	P	P	
221077_at	ARMC4	F	F	F	M	F	F	F	M	
221758_at	ARMC6	P	P	P	P	P	F	P	P	
219096_at	ARMC7	P	M	P	P	M	F	P	P	
203486_s_at	ARMC8	P	P	P	P	P	M	P	P	
203487_s_at	ARMC8	P	F	P	P	F	F	M	P	
219094_at	ARMC8	P	M	P	P	M	F	P	P	
219636_s_at	ARMC9	P	P	P	P	M	F	P	P	
219637_at	ARMC9	P	P	P	P	M	F	P	P	
220754_at	ARMC9	F	F	F	F	F	F	F	F	
218694_at	ARMCX1	P	P	P	P	P	M	P	P	
203404_at	ARMCX2	P	M	P	P	M	F	P	P	
217858_s_at	ARMCX3	P	P	P	P	P	F	P	P	
207799_x_at	ARMCX4	M	F	F	M	F	F	F	M	
219335_at	ARMCX5	P	M	P	P	M	F	P	P	
214749_s_at	ARMCX6	P	P	P	P	P	M	P	P	
210828_s_at	ARNT	M	F	M	M	F	F	F	P	
218221_at	ARNT	M	M	P	P	F	F	P	P	
218222_x_at	ARNT	M	M	P	P	F	F	P	P	
209824_s_at	ARNTL	P	P	P	P	M	F	P	P	
210971_s_at	ARNTL	M	M	M	M	F	F	M	P	
220658_s_at	ARNTL2	P	F	P	M	M	F	P	P	
200950_at	ARPC1A	P	P	P	P	P	P	P	P	
201954_at	ARPC1B	P	P	P	P	P	P	P	P	
207988_s_at	ARPC2	P	P	P	P	P	P	P	P	
208679_s_at	ARPC2	P	P	P	P	P	P	P	P	
213513_x_at	ARPC2	P	P	P	P	P	P	P	P	
208736_at	ARPC3	P	P	P	P	P	P	P	P	
211672_s_at	ARPC4	P	P	P	P	P	M	P	P	
217817_at	ARPC4	P	P	P	P	P	M	P	P	
217818_s_at	ARPC4	P	P	P	P	P	M	P	P	
211963_s_at	ARPC5	P	P	P	P	P	P	P	P	
220966_x_at	ARPC5L	P	P	P	P	P	P	P	P	
214553_s_at	ARPP19	P	P	P	P	M	F	P	P	
221483_s_at	ARPP19	P	P	P	P	P	F	P	P	
220359_s_at	ARPP21	F	F	F	F	F	F	F	F	
207136_at	ARR3	M	F	M	P	F	F	M	P	
218832_x_at	ARRB1	M	F	M	P	F	F	M	M	
203388_at	ARRB2	P	F	P	P	M	F	P	P	
204443_at	ARSA	P	F	M	P	F	F	P	P	
206129_s_at	ARSB	P	F	M	P	F	F	M	P	
206831_s_at	ARSD	P	M	P	P	F	F	P	P	
207784_at	ARSD	M	F	M	P	F	F	M	P	
205894_at	ARSE	P	M	P	P	F	F	P	P	
214490_at	ARSF	F	F	F	M	F	F	F	M	
219973_at	ARSJ	P	P	P	P	P	M	P	P	
207919_at	ART1	M	F	M	P	F	F	M	P	
210147_at	ART3	F	F	F	F	F	F	F	F	
207220_at	ART4	F	F	F	F	F	F	F	F	
207675_x_at	ARTN	M	F	M	P	F	F	F	P	
210237_at	ARTN	M	F	M	P	F	F	M	P	
216052_x_at	ARTN	P	F	M	P	F	F	M	P	
205784_x_at	ARVCF	P	M	P	P	M	F	P	P	
217516_x_at	ARVCF	P	M	P	P	M	F	P	P	
210979_at	ASAH1	F	F	F	F	F	F	F	M	
210980_s_at	ASAH1	P	M	P	P	P	F	P	P	
213902_at	ASAH1	P	P	P	P	P	F	P	P	
221039_s_at	ASAP1	P	P	P	P	P	M	P	P	
220694_at	ASAP1-IT1	F	F	F	F	F	F	F	F	
206414_s_at	ASAP2	P	P	P	P	P	F	P	P	
219103_at	ASAP3	M	F	M	P	F	F	M	P	
222236_s_at	ASAP3	M	M	P	P	M	F	P	P	
212818_s_at	ASB1	P	P	P	P	P	F	P	P	
212819_at	ASB1	P	M	P	P	M	F	P	P	
218862_at	ASB13	F	F	F	M	F	F	F	M	
208481_at	ASB4	F	F	F	F	F	F	F	F	
217228_s_at	ASB4	F	F	F	F	F	F	F	F	
217229_at	ASB4	F	F	F	F	F	F	F	F	
221657_s_at	ASB6	P	P	P	P	P	F	P	P	
219996_at	ASB7	F	F	M	M	F	F	F	M	
218841_at	ASB8	P	F	P	P	F	F	P	P	
205673_s_at	ASB9	M	F	M	P	F	F	M	M	
219336_s_at	ASCC1	P	P	P	P	P	F	P	P	
215684_s_at	ASCC2	P	M	P	P	M	F	P	P	
209985_s_at	ASCL1	M	F	M	M	F	F	M	M	
209986_at	ASCL1	F	F	F	M	F	F	F	M	
209987_s_at	ASCL1	F	F	F	F	F	F	F	F	
209988_s_at	ASCL1	F	F	F	F	F	F	F	F	
213768_s_at	ASCL1	F	F	F	F	F	F	F	M	
207607_at	ASCL2	F	F	F	F	F	F	F	F	
221161_at	ASCL3	F	F	F	M	F	F	F	M	
203427_at	ASF1A	F	F	M	M	F	F	F	M	
203428_s_at	ASF1A	P	M	P	P	M	F	P	P	
218115_at	ASF1B	P	P	P	P	P	M	P	P	
206743_s_at	ASGR1	F	F	F	F	F	F	F	F	
206130_s_at	ASGR2	F	F	F	M	F	F	F	M	
218554_s_at	ASH1L	M	F	M	M	F	F	M	M	
209517_s_at	ASH2L	M	F	M	M	F	F	M	P	
214498_at	ASIP	F	F	F	F	F	F	F	M	
204608_at	ASL	P	P	P	P	P	F	P	P	
206779_s_at	ASMT	F	F	F	F	F	F	F	F	
210551_s_at	ASMT	F	F	F	M	F	F	F	M	
209394_at	ASMTL	P	M	P	P	P	F	P	P	
36553_at	ASMTL	P	P	P	P	P	M	P	P	
36554_at	ASMTL	P	M	P	P	P	F	P	P	
207288_at	ASMTL-AS1	F	F	F	M	F	F	F	M	
202024_at	ASNA1	P	P	P	P	P	P	P	P	
205047_s_at	ASNS	P	P	P	P	P	M	P	P	
217987_at	ASNSD1	P	P	P	P	P	M	P	P	
206030_at	ASPA	P	P	P	P	F	F	P	P	
205808_at	ASPH	P	P	P	P	M	F	P	P	
207284_s_at	ASPH	F	F	F	M	F	F	F	M	
209135_at	ASPH	P	P	P	P	P	P	P	P	
210896_s_at	ASPH	P	P	P	P	P	P	P	P	
214993_at	ASPHD1	M	F	M	P	F	F	M	P	
219918_s_at	ASPM	P	P	P	P	P	M	P	P	
219087_at	ASPN	F	F	F	F	F	F	F	F	
218908_at	ASPSCR1	P	P	P	P	P	F	P	P	
218857_s_at	ASRGL1	P	P	P	P	M	F	P	P	
207076_s_at	ASS1	P	P	P	P	P	M	P	P	
221135_s_at	ASTE1	M	F	M	M	F	F	M	P	
213197_at	ASTN1	F	F	F	F	F	F	F	F	
209693_at	ASTN2	F	F	F	F	F	F	F	M	
215407_s_at	ASTN2	F	F	M	F	F	F	F	M	
212234_at	ASXL1	P	P	P	P	P	M	P	P	
212237_at	ASXL1	P	P	P	P	P	F	P	P	
212238_at	ASXL1	P	P	P	P	P	F	P	P	
218659_at	ASXL2	P	M	M	P	M	F	P	P	
218782_s_at	ATAD2	P	P	P	P	P	F	P	P	
213387_at	ATAD2B	F	F	F	F	F	F	F	M	
219068_x_at	ATAD3A	P	P	P	P	P	F	P	P	
220223_at	ATAD5	M	F	M	M	F	F	M	M	
218874_s_at	ATAT1	M	M	M	P	F	F	M	P	
205446_s_at	ATF2	P	F	M	P	F	F	M	P	
212984_at	ATF2	P	P	P	P	P	F	P	P	
202672_s_at	ATF3	P	P	P	F	P	F	P	P	
200779_at	ATF4	P	P	P	P	P	P	P	P	
204998_s_at	ATF5	P	M	P	P	M	F	P	P	
217389_s_at	ATF5	M	F	M	P	F	F	M	P	
217550_at	ATF6	P	M	P	P	M	F	P	P	
203168_at	ATF6B	P	M	P	P	P	F	P	P	
216208_s_at	ATF6B	M	F	M	P	F	F	M	P	
206684_s_at	ATF7	F	F	F	M	F	F	F	M	
207728_at	ATF7IP	F	F	F	F	F	F	F	F	
216197_at	ATF7IP	F	F	F	F	F	F	F	F	
216198_at	ATF7IP	F	F	F	M	F	F	F	M	
218987_at	ATF7IP	M	F	P	P	F	F	M	P	
219870_at	ATF7IP2	F	F	F	F	F	F	F	F	
207774_at	ATG10	F	F	M	M	F	F	F	M	
204833_at	ATG12	P	M	P	P	M	F	P	P	
213026_at	ATG12	P	M	P	P	P	F	P	P	
213930_at	ATG12	M	F	M	M	F	F	M	P	
203363_s_at	ATG13	P	F	P	P	F	F	P	P	
203364_s_at	ATG13	P	M	P	P	M	F	P	P	
209021_x_at	ATG13	M	F	M	P	F	F	M	P	
204568_at	ATG14	P	P	P	P	P	M	P	P	
220521_s_at	ATG16L1	M	F	F	M	F	F	F	M	
213300_at	ATG2A	P	M	P	P	M	F	P	P	
219164_s_at	ATG2B	M	M	P	P	F	F	M	P	
220237_at	ATG3	F	F	F	F	F	F	F	M	
213115_at	ATG4A	F	F	M	M	F	F	M	M	
204902_s_at	ATG4B	P	M	P	P	M	F	P	P	
204903_x_at	ATG4B	P	P	P	P	P	F	P	P	
212280_x_at	ATG4B	P	P	P	P	P	F	P	P	
202511_s_at	ATG5	P	P	P	P	P	M	P	P	
202512_s_at	ATG5	P	M	P	P	M	F	P	P	
210639_s_at	ATG5	P	P	P	P	P	F	P	P	
218673_s_at	ATG7	P	M	P	P	P	F	P	P	
202492_at	ATG9A	P	P	P	P	P	F	P	P	
219359_at	ATHL1	F	F	F	M	F	F	M	M	
208758_at	ATIC	P	P	P	P	P	F	P	P	
208442_s_at	ATM	P	F	M	P	F	F	M	P	
210858_x_at	ATM	P	F	M	P	F	F	M	P	
212672_at	ATM	P	P	P	P	M	F	P	P	
201854_s_at	ATMIN	P	M	P	P	M	F	P	P	
208871_at	ATN1	P	F	P	P	F	F	P	P	
211076_x_at	ATN1	M	F	M	M	F	F	M	P	
40489_at	ATN1	P	M	P	P	M	F	P	P	
221336_at	ATOH1	M	F	M	M	F	F	M	P	
203454_s_at	ATOX1	P	P	P	P	P	P	P	P	
214255_at	ATP10A	F	F	F	M	F	F	F	F	
214256_at	ATP10A	F	F	F	M	F	F	F	M	
214070_s_at	ATP10B	F	F	F	M	F	F	M	M	
220920_at	ATP10B	F	F	F	F	F	F	F	M	
213238_at	ATP10D	P	P	P	P	P	F	P	P	
213582_at	ATP11A	M	F	P	P	F	F	P	P	
215842_s_at	ATP11A	M	F	M	M	F	F	M	M	
216488_s_at	ATP11A	M	F	P	P	F	F	P	P	
207367_at	ATP12A	F	F	F	F	F	F	F	F	
218052_s_at	ATP13A1	P	M	P	P	M	F	P	P	
218608_at	ATP13A2	P	P	P	P	P	F	P	P	
212297_at	ATP13A3	P	P	P	P	P	F	P	P	
219558_at	ATP13A3	P	P	P	P	M	F	P	P	
220948_s_at	ATP1A1	P	P	P	P	P	P	P	P	
203295_s_at	ATP1A2	F	F	M	M	F	F	F	F	
203296_s_at	ATP1A2	M	F	M	P	F	F	F	P	
214432_at	ATP1A3	M	F	M	M	F	F	F	M	
201242_s_at	ATP1B1	P	P	P	P	P	P	P	P	
204311_at	ATP1B2	M	F	M	M	F	F	M	P	
208836_at	ATP1B3	P	P	P	P	P	M	P	P	
220556_at	ATP1B4	F	F	F	F	F	F	F	M	
205444_at	ATP2A1	M	F	M	P	F	F	F	P	
209186_at	ATP2A2	P	P	P	P	P	P	P	P	
212361_s_at	ATP2A2	P	P	P	P	P	F	P	P	
212362_at	ATP2A2	M	F	M	P	F	F	M	P	
207521_s_at	ATP2A3	P	F	M	P	F	F	P	P	
207522_s_at	ATP2A3	P	F	P	P	F	F	P	P	
213036_x_at	ATP2A3	P	F	M	P	F	F	P	P	
213042_s_at	ATP2A3	M	F	M	P	F	F	P	P	
209281_s_at	ATP2B1	M	F	P	M	F	F	M	P	
212930_at	ATP2B1	M	F	P	P	F	F	P	P	
215716_s_at	ATP2B1	P	P	P	P	M	F	P	P	
204685_s_at	ATP2B2	M	F	M	M	F	F	F	M	
211586_s_at	ATP2B2	F	F	F	F	F	F	F	F	
216120_s_at	ATP2B2	F	F	F	F	F	F	F	M	
207026_s_at	ATP2B3	F	F	F	M	F	F	F	M	
215911_x_at	ATP2B3	F	F	F	F	F	F	F	F	
216312_at	ATP2B3	F	F	F	F	F	F	F	M	
205410_s_at	ATP2B4	M	F	M	M	F	F	M	P	
212135_s_at	ATP2B4	P	P	P	P	P	F	P	P	
212136_at	ATP2B4	P	P	P	P	P	F	P	P	
209934_s_at	ATP2C1	P	M	P	P	M	F	P	P	
209935_at	ATP2C1	P	F	P	P	F	F	M	P	
211137_s_at	ATP2C1	P	P	P	P	M	F	P	P	
206043_s_at	ATP2C2	F	F	M	F	F	F	F	F	
214798_at	ATP2C2	P	F	P	P	F	F	M	P	
207139_at	ATP4A	M	F	F	M	F	F	F	M	
207546_at	ATP4B	F	F	F	F	F	F	F	M	
213738_s_at	ATP5A1	P	P	P	P	P	P	P	P	
201322_at	ATP5B	P	P	P	P	P	P	P	P	
205711_x_at	ATP5C1	P	P	P	P	P	M	P	P	
208870_x_at	ATP5C1	P	P	P	P	P	M	P	P	
213366_x_at	ATP5C1	P	P	P	P	P	M	P	P	
214132_at	ATP5C1	P	M	P	P	F	F	P	P	
203926_x_at	ATP5D	P	P	P	P	P	M	P	P	
213041_s_at	ATP5D	P	P	P	P	P	P	P	P	
217801_at	ATP5E	P	P	P	P	P	P	P	P	
211755_s_at	ATP5F1	P	P	P	P	P	M	P	P	
208972_s_at	ATP5G1	P	P	P	P	P	P	P	P	
207552_at	ATP5G2	F	F	F	M	F	F	F	M	
208764_s_at	ATP5G2	P	P	P	P	P	M	P	P	
207507_s_at	ATP5G3	P	P	P	P	P	P	P	P	
207508_at	ATP5G3	P	P	P	P	P	P	P	P	
210149_s_at	ATP5H	P	P	P	P	P	P	P	P	
207335_x_at	ATP5I	P	P	P	P	P	P	P	P	
209492_x_at	ATP5I	P	P	P	P	P	P	P	P	
202325_s_at	ATP5J	P	P	P	P	P	P	P	P	
202961_s_at	ATP5J2	P	P	P	P	P	P	P	P	
207573_x_at	ATP5L	P	P	P	P	P	M	P	P	
208745_at	ATP5L	P	P	P	P	M	F	P	P	
208746_x_at	ATP5L	P	P	P	P	P	M	P	P	
210453_x_at	ATP5L	P	P	P	P	P	M	P	P	
200818_at	ATP5O	P	P	P	P	P	F	P	P	
216954_x_at	ATP5O	P	P	P	P	P	F	P	P	
206992_s_at	ATP5S	P	P	P	P	P	F	P	P	
206993_at	ATP5S	M	F	M	P	F	F	M	P	
218038_at	ATP5SL	P	P	P	P	P	M	P	P	
45828_at	ATP5SL	P	P	P	P	P	P	P	P	
207809_s_at	ATP6AP1	P	P	P	P	P	F	P	P	
201442_s_at	ATP6AP2	M	F	M	M	F	F	M	M	
201443_s_at	ATP6AP2	P	P	P	P	P	P	P	P	
201444_s_at	ATP6AP2	P	P	P	P	P	F	P	P	
205095_s_at	ATP6V0A1	P	F	P	P	F	F	M	P	
212383_at	ATP6V0A1	P	P	P	P	M	F	P	P	
205703_at	ATP6V0A2	F	F	F	F	F	F	F	M	
205704_s_at	ATP6V0A2	P	M	P	P	M	F	P	P	
217603_at	ATP6V0A2	F	F	F	M	F	F	F	M	
220197_at	ATP6V0A4	M	M	M	P	M	F	P	P	
200954_at	ATP6V0C	P	P	P	P	P	M	P	P	
36994_at	ATP6V0C	P	P	P	P	P	P	P	P	
212041_at	ATP6V0D1	P	P	P	P	P	M	P	P	
200096_s_at	ATP6V0E1	P	P	P	P	P	P	P	P	
201171_at	ATP6V0E1	P	P	P	P	P	F	P	P	
201172_x_at	ATP6V0E1	P	P	P	P	P	P	P	P	
214149_s_at	ATP6V0E1	P	P	P	P	P	F	P	P	
214150_x_at	ATP6V0E1	P	P	P	P	P	P	P	P	
214244_s_at	ATP6V0E1	P	M	P	P	M	F	P	P	
213587_s_at	ATP6V0E2	P	P	P	P	P	F	P	P	
201971_s_at	ATP6V1A	M	F	F	F	F	F	M	F	
201972_at	ATP6V1A	P	P	P	P	M	F	P	P	
205473_at	ATP6V1B1	F	F	F	F	F	F	F	M	
201089_at	ATP6V1B2	P	P	P	P	P	F	P	P	
202872_at	ATP6V1C1	P	M	P	P	M	F	P	P	
202873_at	ATP6V1C1	P	F	M	P	F	F	M	P	
202874_s_at	ATP6V1C1	P	P	P	P	P	F	P	P	
208899_x_at	ATP6V1D	P	P	P	P	P	M	P	P	
214923_at	ATP6V1D	M	F	M	M	F	F	M	M	
208678_at	ATP6V1E1	P	P	P	P	P	M	P	P	
201527_at	ATP6V1F	P	P	P	P	P	P	P	P	
208737_at	ATP6V1G1	P	P	P	P	P	M	P	P	
214762_at	ATP6V1G2	M	F	M	P	F	F	F	M	
221504_s_at	ATP6V1H	P	P	P	P	P	F	P	P	
205197_s_at	ATP7A	M	F	M	M	F	F	F	M	
205198_s_at	ATP7A	M	F	M	M	F	F	M	P	
204624_at	ATP7B	F	F	F	M	F	F	F	M	
210192_at	ATP8A1	F	F	F	F	F	F	F	F	
213106_at	ATP8A1	F	F	M	P	F	F	F	M	
219659_at	ATP8A2	M	F	M	P	F	F	M	P	
219660_s_at	ATP8A2	M	F	M	M	F	F	M	P	
214594_x_at	ATP8B1	P	P	P	P	F	F	P	P	
216873_s_at	ATP8B2	P	M	P	P	M	F	P	P	
215319_at	ATP8B3	M	F	M	M	F	F	F	M	
220416_at	ATP8B4	F	F	F	F	F	F	F	F	
212062_at	ATP9A	P	M	P	M	F	F	M	P	
216129_at	ATP9A	M	F	F	M	F	F	F	M	
214010_s_at	ATP9B	P	M	P	P	M	F	P	P	
214934_at	ATP9B	P	P	P	P	P	F	P	P	
213057_at	ATPAF2	P	M	P	P	M	F	P	P	
214330_at	ATPAF2	P	F	P	P	F	F	P	P	
218671_s_at	ATPIF1	P	P	P	P	P	P	P	P	
209902_at	ATR	P	P	P	P	P	F	P	P	
209903_s_at	ATR	P	P	P	P	P	F	P	P	
211852_s_at	ATRN	P	M	M	P	F	F	F	P	
212517_at	ATRN	P	M	P	P	M	F	M	P	
213744_at	ATRNL1	F	F	F	M	F	F	F	M	
213745_at	ATRNL1	F	F	F	F	F	F	F	M	
208859_s_at	ATRX	P	P	P	P	M	F	P	P	
208860_s_at	ATRX	P	M	P	P	M	F	M	P	
208861_s_at	ATRX	P	M	P	P	M	F	M	P	
211022_s_at	ATRX	M	F	M	M	F	F	M	P	
203231_s_at	ATXN1	M	F	M	P	F	F	F	P	
203232_s_at	ATXN1	M	F	M	P	F	F	M	P	
208832_at	ATXN10	P	P	P	P	P	F	P	P	
208833_s_at	ATXN10	P	P	P	P	P	P	P	P	
202622_s_at	ATXN2	P	P	P	P	P	F	P	P	
201806_s_at	ATXN2L	P	M	P	P	M	F	P	P	
207798_s_at	ATXN2L	M	F	F	M	F	F	F	M	
205415_s_at	ATXN3	M	M	P	P	F	F	P	P	
205416_s_at	ATXN3	F	F	F	M	F	F	F	M	
216657_at	ATXN3	F	F	F	F	F	F	F	F	
217321_x_at	ATXN3	F	F	F	F	F	F	F	F	
216539_at	ATXN3L	F	F	F	F	F	F	F	F	
204516_at	ATXN7	P	P	P	P	M	F	P	P	
209964_s_at	ATXN7	M	M	M	P	F	F	P	P	
214342_at	ATXN7L1	F	F	F	F	F	F	F	M	
214343_s_at	ATXN7L1	F	F	M	M	F	F	M	M	
212113_at	ATXN7L3B	P	P	P	P	M	F	P	P	
212114_at	ATXN7L3B	P	P	P	P	P	F	P	P	
216404_at	ATXN8OS	F	F	F	M	F	F	F	M	
205052_at	AUH	P	M	P	P	M	F	P	P	
220525_s_at	AUP1	P	P	P	P	P	P	P	P	
208079_s_at	AURKA	P	P	P	P	P	P	P	P	
208080_at	AURKA	P	M	P	P	F	F	P	P	
218580_x_at	AURKAIP1	P	P	P	P	P	P	P	P	
211107_s_at	AURKC	F	F	F	F	F	F	F	F	
212599_at	AUTS2	F	F	F	F	F	F	F	F	
219366_at	AVEN	P	P	P	P	P	F	P	P	
205539_at	AVIL	M	F	M	M	F	F	M	M	
210507_s_at	AVIL	F	F	M	M	F	F	F	M	
212471_at	AVL9	M	F	M	P	F	F	M	P	
212474_at	AVL9	P	P	P	P	M	F	P	P	
212475_at	AVL9	P	M	P	P	F	F	P	P	
207848_at	AVP	M	F	M	P	F	F	M	P	
218631_at	AVPI1	P	M	P	P	F	F	P	P	
206250_x_at	AVPR1A	M	F	M	P	F	F	M	P	
206251_s_at	AVPR1A	F	F	F	F	F	F	F	M	
206252_s_at	AVPR1A	F	F	F	F	F	F	F	M	
208260_at	AVPR1B	M	F	M	M	F	F	M	P	
