id	pr_gene_symbol	MDAMB231-ctl_vehicle-16149	MDAMB231-ctl_vehicle-16150	MDAMB231-ctl_vehicle-16151	MDAMB231-trt_cp-16152	MDAMB231-trt_cp-16153	MDAMB231-trt_cp-16154	MDAMB231-trt_cp-16155	MDAMB231-trt_cp-16156	
212500_at	ADO	M	M	P	P	M	F	P	M	
201841_s_at	HSPB1	P	P	P	P	P	P	P	P	
202735_at	EBP	P	P	P	P	P	F	P	P	
218584_at	TCTN1	M	F	M	M	F	F	M	P	
214259_s_at	AKR7A2	P	P	P	P	P	P	P	P	
207620_s_at	CASK	P	P	P	P	P	F	P	P	
203338_at	PPP2R5E	P	P	P	P	P	M	P	P	
203171_s_at	RRP8	P	M	P	P	M	F	P	P	
203726_s_at	LAMA3	F	F	M	M	F	F	M	F	
204297_at	PIK3C3	P	P	P	P	P	F	P	P	
201170_s_at	BHLHE40	F	F	F	P	M	F	P	P	
205034_at	CCNE2	M	M	P	P	F	F	F	P	
211715_s_at	BDH1	P	P	P	P	P	F	P	P	
215000_s_at	FEZ2	M	F	M	P	F	F	M	P	
202491_s_at	IKBKAP	P	P	P	P	P	M	P	P	
201811_x_at	SH3BP5	M	F	M	P	F	F	M	P	
202187_s_at	PPP2R5A	P	P	P	P	P	F	P	P	
205120_s_at	SGCB	P	M	P	P	M	F	P	P	
203442_x_at	EML3	P	M	P	P	M	F	P	P	
217956_s_at	ENOPH1	P	P	P	P	P	P	P	P	
202095_s_at	BIRC5	P	P	P	P	P	P	P	P	
203291_at	CNOT4	P	M	P	P	M	F	P	P	
200843_s_at	EPRS	P	P	P	P	P	M	P	P	
202507_s_at	SNAP25	P	F	P	P	P	M	F	F	
212723_at	JMJD6	P	P	P	P	P	P	P	P	
121_at	PAX8	M	F	M	P	F	F	M	P	
209682_at	CBLB	M	F	M	P	F	F	M	P	
218826_at	SLC35F2	P	P	P	P	P	M	P	P	
218910_at	ANO10	P	P	P	P	P	F	P	P	
212140_at	PDS5A	P	P	P	P	P	M	P	P	
206752_s_at	DFFB	M	F	M	P	F	F	M	P	
217934_x_at	STUB1	P	P	P	P	P	P	P	P	
200886_s_at	PGAM1	P	P	P	P	P	P	P	P	
209747_at	TGFB3	P	F	M	P	F	F	M	P	
209364_at	BAD	P	P	P	P	P	P	P	P	
200670_at	XBP1	P	P	P	P	P	F	P	P	
201158_at	NMT1	P	P	P	P	P	F	P	P	
219485_s_at	PSMD10	P	P	P	P	M	F	P	P	
202109_at	ARFIP2	P	P	P	P	P	M	P	P	
203884_s_at	RAB11FIP2	P	M	P	P	M	F	P	P	
202945_at	FPGS	P	P	P	P	P	M	P	P	
202811_at	STAMBP	P	P	P	P	P	F	P	P	
204061_at	PRKX	M	F	M	P	F	F	M	P	
206050_s_at	RNH1	P	P	P	P	P	P	M	P	
221492_s_at	ATG3	P	P	P	P	P	F	P	P	
202862_at	FAH	P	P	P	P	P	F	P	P	
204725_s_at	NCK1	P	P	P	P	P	M	P	P	
201136_at	PLP2	P	P	P	P	P	P	P	P	
209939_x_at	CFLAR	P	F	P	P	P	F	P	P	
201416_at	SOX4	M	P	M	M	F	F	M	F	
218595_s_at	HEATR1	P	P	P	P	P	P	P	P	
204106_at	TESK1	P	P	P	P	P	F	P	P	
212115_at	HN1L	P	P	P	P	P	M	P	P	
212880_at	WDR7	M	F	M	M	F	F	M	P	
203848_at	AKAP8	P	P	P	P	M	F	P	P	
201628_s_at	RRAGA	P	P	P	P	P	F	P	P	
204256_at	ELOVL6	P	P	P	P	P	M	P	P	
212811_x_at	SLC1A4	F	F	F	P	F	F	M	M	
202324_s_at	ACBD3	P	P	P	P	P	F	P	P	
221549_at	GRWD1	P	M	P	P	P	F	P	P	
204285_s_at	PMAIP1	P	P	P	P	P	M	P	P	
200887_s_at	STAT1	P	P	P	P	P	F	P	P	
206015_s_at	FOXJ3	P	P	P	P	P	F	P	P	
202009_at	TWF2	P	P	P	P	P	M	P	P	
206846_s_at	HDAC6	P	P	P	P	P	M	P	P	
219363_s_at	MTERFD1	P	P	P	P	P	M	P	P	
208711_s_at	CCND1	P	P	P	P	P	F	P	P	
219492_at	CHIC2	P	M	P	P	P	F	P	P	
201087_at	PXN	P	P	P	P	P	P	P	P	
201498_at	USP7	M	M	P	P	F	F	P	M	
217950_at	NOSIP	P	P	P	P	P	F	P	P	
202738_s_at	PHKB	M	M	P	P	M	F	P	P	
209095_at	DLD	P	P	P	P	P	P	P	P	
214062_x_at	NFKBIB	M	F	M	P	F	F	M	M	
207842_s_at	CASC3	P	P	P	P	P	M	P	P	
217496_s_at	IDE	F	F	M	M	F	F	M	M	
205153_s_at	CD40	P	P	P	P	P	F	P	P	
200617_at	MLEC	P	P	P	P	P	P	P	P	
207034_s_at	GLI2	M	F	F	M	F	F	M	M	
209161_at	PRPF4	P	P	P	P	P	M	P	P	
204825_at	MELK	P	P	P	P	P	P	P	P	
200083_at	USP22	P	P	P	P	P	P	P	P	
201763_s_at	DAXX	P	P	P	P	P	F	P	P	
200929_at	TMED10	P	P	P	P	P	P	P	P	
202230_s_at	CHERP	P	P	P	P	P	M	P	P	
205398_s_at	SMAD3	P	P	P	P	P	F	P	P	
208717_at	OXA1L	P	M	P	P	M	P	P	P	
204369_at	PIK3CA	P	P	P	P	P	F	P	P	
205573_s_at	SNX7	P	P	P	P	P	M	P	P	
204985_s_at	TRAPPC6A	P	M	P	P	F	F	P	P	
212255_s_at	ATP2C1	P	P	P	P	P	M	P	P	
218399_s_at	CDCA4	P	P	P	P	P	F	P	P	
212054_x_at	TBC1D9B	P	P	P	P	M	F	P	P	
201671_x_at	USP14	P	M	P	P	P	F	P	P	
202630_at	APPBP2	F	F	F	M	F	F	F	M	
202870_s_at	CDC20	P	P	P	P	P	P	P	P	
218742_at	NARFL	M	F	M	P	F	F	M	P	
200081_s_at	RPS6	P	P	P	P	P	P	P	P	
201788_at	DDX42	P	P	P	P	P	F	P	P	
200789_at	ECH1	P	P	P	P	P	P	P	P	
201833_at	HDAC2	P	P	P	P	P	P	P	P	
204549_at	IKBKE	M	F	M	M	F	F	F	M	
216598_s_at	CCL2	F	F	M	F	F	F	F	M	
203277_at	DFFA	P	P	P	P	P	F	P	P	
203465_at	MRPL19	P	P	P	P	P	P	P	P	
40829_at	WDTC1	P	M	P	P	M	F	P	P	
56197_at	PLSCR3	P	P	P	P	P	F	P	P	
212287_at	SUZ12	P	P	P	P	P	P	P	P	
203575_at	CSNK2A2	F	F	F	M	F	F	F	P	
212206_s_at	H2AFV	P	P	P	P	P	F	P	P	
218039_at	NUSAP1	P	P	P	P	P	P	P	P	
213191_at	TICAM1	M	F	P	P	F	F	M	P	
213689_x_at	FAM69A	P	P	P	P	P	F	P	P	
201729_s_at	KIAA0100	P	P	P	P	P	M	P	P	
201014_s_at	PAICS	P	P	P	P	P	M	P	P	
213324_at	SRC	F	F	F	F	F	F	F	F	
211518_s_at	BMP4	P	P	P	P	P	P	P	P	
204252_at	CDK2	P	P	P	P	P	M	P	P	
218995_s_at	EDN1	P	P	P	P	P	F	P	P	
212166_at	XPO7	P	P	P	P	P	F	P	P	
220643_s_at	FAIM	P	M	P	P	M	F	P	P	
201778_s_at	KIAA0494	P	P	P	P	P	F	P	P	
219076_s_at	PXMP2	P	P	P	P	P	F	P	P	
201471_s_at	SQSTM1	P	P	P	P	P	P	P	P	
200989_at	HIF1A	P	P	P	P	P	P	P	P	
203342_at	TIMM17B	P	P	P	P	P	P	P	P	
209367_at	STXBP2	P	M	P	P	M	F	P	P	
202749_at	WRB	P	P	P	P	P	F	P	P	
202942_at	ETFB	P	P	P	P	P	F	P	P	
203565_s_at	MNAT1	P	P	P	P	P	F	P	P	
212765_at	CAMSAP2	P	P	P	P	P	M	P	P	
202854_at	HPRT1	P	P	P	P	P	M	P	P	
202986_at	ARNT2	P	P	P	P	P	M	P	P	
209567_at	RRS1	P	M	P	P	M	F	P	P	
219384_s_at	ADAT1	P	F	M	M	F	F	M	P	
200053_at	SPAG7	P	P	P	P	P	P	P	P	
212644_s_at	MAPK1IP1L	P	P	P	P	P	M	P	P	
218206_x_at	SCAND1	P	P	P	P	P	P	P	P	
209215_at	MFSD10	P	P	P	P	P	P	P	P	
202911_at	MSH6	P	P	P	P	P	P	P	P	
209029_at	COPS7A	P	P	P	P	P	P	P	P	
202954_at	UBE2C	P	P	P	P	P	P	P	P	
218034_at	FIS1	P	P	P	P	P	F	P	M	
203285_s_at	HS2ST1	F	F	M	M	F	F	M	P	
218375_at	NUDT9	P	P	P	P	P	F	P	P	
212300_at	TXLNA	P	P	P	P	P	P	P	P	
200621_at	CSRP1	P	P	P	P	P	P	P	P	
200666_s_at	DNAJB1	P	P	P	P	P	P	P	P	
219051_x_at	METRN	M	F	P	P	F	F	M	P	
202633_at	TOPBP1	P	P	P	P	P	F	P	P	
200045_at	ABCF1	P	P	P	P	P	P	P	P	
203054_s_at	TCTA	P	P	P	P	P	F	P	P	
201212_at	LGMN	P	P	P	P	M	F	P	P	
212997_s_at	TLK2	P	M	P	P	P	F	P	P	
212795_at	KIAA1033	F	F	F	F	F	F	F	F	
204748_at	PTGS2	P	P	P	P	P	F	P	P	
209015_s_at	DNAJB6	P	P	P	P	P	P	P	P	
210145_at	PLA2G4A	P	P	P	P	P	F	P	P	
200768_s_at	MAT2A	P	P	P	P	P	P	P	P	
221060_s_at	TLR4	F	F	F	M	F	F	M	F	
221750_at	HMGCS1	P	M	P	P	P	F	P	P	
201620_at	MBTPS1	P	P	P	P	M	F	P	P	
212458_at	SPRED2	P	P	P	P	M	F	P	P	
204937_s_at	ZNF274	P	P	P	P	P	F	P	P	
201560_at	CLIC4	P	P	P	P	P	P	P	P	
202889_x_at	MAP7	F	P	P	F	F	F	F	F	
219270_at	CHAC1	P	P	P	P	P	F	P	P	
208624_s_at	EIF4G1	P	P	P	P	P	M	P	P	
205504_at	BTK	F	F	F	F	F	F	F	F	
200981_x_at	GNAS	P	P	P	P	P	F	P	P	
201058_s_at	MYL9	P	P	P	P	P	M	P	P	
218104_at	TEX10	P	P	P	P	P	F	P	P	
200830_at	PSMD2	P	P	P	P	P	P	P	P	
219711_at	ZNF586	M	F	F	M	F	F	F	P	
200614_at	CLTC	P	P	P	P	P	P	P	P	
205039_s_at	IKZF1	F	F	F	F	F	F	F	F	
213419_at	APBB2	P	M	P	P	M	F	P	P	
202282_at	HSD17B10	P	P	P	P	P	M	P	P	
212047_s_at	RNF167	P	P	P	P	P	M	P	P	
204729_s_at	STX1A	P	P	P	P	P	P	P	P	
200966_x_at	ALDOA	P	P	P	P	P	P	P	P	
206070_s_at	EPHA3	F	F	F	F	F	F	F	M	
