id	pr_gene_symbol	MDAMB231-ctl_vehicle-16149	MDAMB231-ctl_vehicle-16150	MDAMB231-ctl_vehicle-16151	MDAMB231-trt_cp-16152	MDAMB231-trt_cp-16153	MDAMB231-trt_cp-16154	MDAMB231-trt_cp-16155	MDAMB231-trt_cp-16156
204473_s_at	ZNF592	6.6686	6.5627	6.0901	6.6800	6.4991	6.5040	6.3733	6.5359
213389_at	ZNF592	6.4646	6.4750	6.3460	6.6911	6.6111	6.7658	6.4092	6.2310
204175_at	ZNF593	11.1580	10.6962	10.2743	11.0146	11.2496	11.2921	11.8366	11.9065
219635_at	ZNF606	5.5235	5.6192	5.5761	5.4562	5.4324	5.6514	4.9682	6.1564
212617_at	ZNF609	6.6353	6.6564	6.0067	6.4357	6.0844	6.6666	6.2509	6.7974
212618_at	ZNF609	6.8219	6.5221	6.5508	6.7760	6.5570	6.9065	7.1512	6.9872
212620_at	ZNF609	6.7706	6.1073	6.2319	6.3809	6.0704	6.0889	6.8121	6.8168
208137_x_at	ZNF611	8.0441	7.3326	7.9415	7.7432	6.8260	7.5208	7.6302	8.5285
219851_at	ZNF613	4.5911	4.9483	4.7156	4.3345	4.4458	4.7067	4.5514	4.8075
210599_at	ZNF614	5.4667	5.3750	5.3946	5.0983	5.2886	5.5839	5.2691	5.4418
220721_at	ZNF614	5.1675	5.6017	5.3388	5.4016	5.7331	5.3602	5.5769	5.7622
206188_at	ZNF623	6.0939	6.1529	5.7228	5.8046	5.5506	4.8515	5.8838	6.6253
213196_at	ZNF629	6.5472	6.5525	6.8666	6.8444	6.9363	6.9252	6.5090	6.7199
211257_x_at	ZNF638	7.7640	8.0735	8.3513	8.0205	7.7503	8.2451	8.5299	8.0563
213775_x_at	ZNF638	7.2102	7.4226	7.8703	7.3208	7.3221	7.9462	8.1962	7.5321
218413_s_at	ZNF639	6.0514	6.4587	6.1609	6.3319	6.3513	6.4308	6.2211	6.4737
207219_at	ZNF643	6.6088	6.4952	6.0188	6.2487	6.0432	6.2527	6.2328	6.7675
204876_at	ZNF646	6.7601	6.4178	6.6398	6.8472	7.0103	6.9516	6.6251	7.0002
205594_at	ZNF652	5.4385	4.1414	5.0199	4.8100	4.1692	5.2947	4.6300	5.8108
219239_s_at	ZNF654	6.7434	6.4542	6.6148	6.6257	6.4488	6.6032	6.7121	6.7387
220760_x_at	ZNF665	7.5327	6.1310	7.0024	6.9363	6.6489	6.9777	6.9886	7.7484
207120_at	ZNF667	5.3565	5.0617	4.7060	5.1156	4.7945	5.1452	4.9035	5.3011
219047_s_at	ZNF668	7.3116	7.4857	7.2491	7.2963	7.0988	7.3883	6.9758	7.6084
220215_at	ZNF669	5.8972	5.3052	5.8868	5.7054	5.4766	5.4464	5.5839	6.2510
219849_at	ZNF671	6.3425	5.2101	5.5101	5.6394	5.6675	5.8730	5.7357	6.4167
218068_s_at	ZNF672	7.5884	7.0740	7.6607	7.5216	7.4263	7.3153	7.7590	7.5378
206583_at	ZNF673	7.1528	7.5323	6.5161	6.7999	7.2720	6.6998	8.0327	7.5840
215309_at	ZNF674	5.1021	5.1919	4.8807	4.5819	4.7085	4.8541	4.8620	5.2210
217547_x_at	ZNF675	6.1017	5.8087	5.8617	5.8129	5.7373	5.9231	5.9822	6.3539
216468_s_at	ZNF682	5.5414	5.3611	5.2317	5.2479	5.0863	5.0821	5.2243	5.7388
213527_s_at	ZNF688	7.6311	7.3413	7.1572	7.4554	7.2322	7.7928	7.2545	8.1363
213529_at	ZNF688	6.1212	5.8539	6.0763	5.9134	5.7953	6.7540	5.7866	6.4684
